crisis_definition,sentimenter_name,sentiment_kind,improvement_recall_%,improvement_precision_%,improvement_fscore_%,correlation
kr,vader,direction,1.3269230769230789,8.473991761662996,6.437122137895536,-0.32960024642745145
kr,vader,intensity,12.154424522845567,9.726711859878755,10.394892717901566,0.48895541551210625
ll,afinn,direction,5.0925930628850695,-5.189442685894562,-2.0594864246997924,-0.277421693226262
ll,afinn,intensity,11.006851869485182,-6.516052621042582,-1.4334477435150457,-0.18835028468372064
ll,textblob,direction,-0.853291574551708,-15.30840467987165,-11.027098933596832,-0.12711852360347073
ll,textblob,intensity,4.760116668963298,-12.797394841073821,-7.664571191058977,-0.11166109449085518
ll,vader,direction,0.9680233493069137,-8.654816395798683,-5.823684877155012,-0.32960024642745145
ll,vader,intensity,8.284604519774014,-3.9464686848061676,-0.2234592037614238,0.48895541551210625
LoDuca,afinn,direction,2.7401331742931747,-0.35928578169215974,0.508625514447294,-0.277421693226262
LoDuca,afinn,intensity,8.962626866994636,-4.276983711242487,0.08725683859958089,-0.18835028468372064
LoDuca,textblob,direction,-1.9980818414322297,4.354059509156082,1.4771354666886616,-0.12711852360347073
LoDuca,textblob,intensity,11.24786497275532,12.067566889334486,11.281719013295255,-0.11166109449085518
LoDuca,vader,direction,1.0751289323305588,-1.2844239690261752,-0.500492220334416,-0.32960024642745145
LoDuca,vader,intensity,8.972048775763433,2.7415434423687044,4.983404574372932,0.48895541551210625
ReinhartRogoff,afinn,direction,0.24509803921568096,-0.8056753528709102,-0.4784390299367418,-0.277421693226262
ReinhartRogoff,afinn,intensity,2.3312287518212687,-13.13547123724167,-7.637268202271877,-0.18835028468372064
ReinhartRogoff,textblob,direction,-3.9826127819548844,1.6585365853658285,-0.7132715155027434,-0.12711852360347073
ReinhartRogoff,textblob,intensity,12.68849206349206,24.41089863854805,19.164108153469854,-0.11166109449085518
ReinhartRogoff,vader,direction,-1.5867039586919107,6.029377203290234,2.8474172449404858,-0.32960024642745145
ReinhartRogoff,vader,intensity,4.381199811053372,-4.076590504140042,-0.9124128880441639,0.48895541551210625
RomerRomer,afinn,direction,1.4989531189704393,-0.0761794562075424,0.5386725904926895,-0.277421693226262
RomerRomer,afinn,intensity,1.6989943787171733,-15.843020815732814,-9.104134161937385,-0.18835028468372064
RomerRomer,textblob,direction,5.766468720194627,3.556691322397516,4.493992576059385,-0.12711852360347073
RomerRomer,textblob,intensity,11.137814130888307,6.967773451825945,8.385946848129532,-0.11166109449085518
RomerRomer,vader,direction,1.8438041253345956,2.411909580606788,2.14479777893779,-0.32960024642745145
