classification_type,f2_threshold,doc_topic_level,fear_language_recall,fear_language_prec,fear_language_f2,risk_language_recall,risk_language_prec,risk_language_f2,hedging_language_recall,hedging_language_prec,hedging_language_f2,opinion_language_recall,opinion_language_prec,opinion_language_f2,crisis_language_recall,crisis_language_prec,crisis_language_f2,positive_sentiment_language_recall,positive_sentiment_language_prec,positive_sentiment_language_f2,negative_sentiment_language_recall,negative_sentiment_language_prec,negative_sentiment_language_f2,agg_all_other_sentiments_recall,agg_all_other_sentiments_prec,agg_all_other_sentiments_f2,agg_other_and_negative_recall,agg_other_and_negative_prec,agg_other_and_negative_f2,all_language_recall,all_language_prec,all_language_f2
Min1_AllCountry,0.4,0.25,0.75,0.4838709677419355,0.6756756756756757,0.625,0.3703703703703704,0.5494505494505495,0.7222222222222222,0.4482758620689655,0.6435643564356436,0.7777777777777778,0.4666666666666667,0.6862745098039216,0.75,0.46875,0.6696428571428571,0.7058823529411765,0.375,0.6,0.625,0.30303030303030304,0.5154639175257731,0.7222222222222222,0.43333333333333335,0.6372549019607843,0.7058823529411765,0.35294117647058826,0.5882352941176471,0.7058823529411765,0.375,0.6
Min1_AllCountry,0.4,0.05,0.7647058823529411,0.3611111111111111,0.625,0.7058823529411765,0.3428571428571429,0.5825242718446602,0.8333333333333334,0.4545454545454545,0.7142857142857143,0.85,0.4473684210526316,0.7203389830508474,0.625,0.2380952380952381,0.4716981132075472,0.7058823529411765,0.4,0.6122448979591837,0.85,0.4857142857142857,0.7391304347826086,0.75,0.46875,0.6696428571428571,0.7894736842105263,0.42857142857142855,0.6756756756756757,0.7894736842105263,0.46875,0.6944444444444444
Min1_AllCountry,0.4,top_10,0.8,0.3636363636363637,0.6451612903225806,0.7619047619047619,0.3555555555555556,0.6201550387596899,0.8333333333333334,0.36585365853658536,0.6637168141592921,0.8636363636363636,0.475,0.7421875,0.6470588235294118,0.2391304347826087,0.4824561403508772,0.7894736842105263,0.4166666666666667,0.6696428571428571,0.85,0.425,0.7083333333333334,0.7777777777777778,0.3888888888888889,0.6481481481481481,0.8,0.4,0.6666666666666666,0.7894736842105263,0.3947368421052632,0.6578947368421053
Min1_AllCountry,0.4,top_20,0.8,0.3636363636363637,0.6451612903225806,0.7619047619047619,0.3555555555555556,0.6201550387596899,0.8333333333333334,0.36585365853658536,0.6637168141592921,0.8636363636363636,0.475,0.7421875,0.6470588235294118,0.2391304347826087,0.4824561403508772,0.7894736842105263,0.4166666666666667,0.6696428571428571,0.85,0.425,0.7083333333333334,0.7777777777777778,0.3888888888888889,0.6481481481481481,0.8,0.41025641025641024,0.6722689075630253,0.7894736842105263,0.3947368421052632,0.6578947368421053
Min1_AllCountry,0.4,0.01,0.8,0.3636363636363637,0.6451612903225806,0.7619047619047619,0.3555555555555556,0.6201550387596899,0.8333333333333334,0.36585365853658536,0.6637168141592921,0.8636363636363636,0.475,0.7421875,0.6470588235294118,0.2391304347826087,0.4824561403508772,0.7894736842105263,0.4166666666666667,0.6696428571428571,0.85,0.425,0.7083333333333334,0.7777777777777778,0.3888888888888889,0.6481481481481481,0.8,0.41025641025641024,0.6722689075630253,0.7894736842105263,0.3947368421052632,0.6578947368421053
Min1_AllCountry,0.3,0.25,0.6875,0.3928571428571429,0.5978260869565217,0.6666666666666666,0.4444444444444444,0.6060606060606061,0.6666666666666666,0.35714285714285715,0.5681818181818182,0.6666666666666666,0.38461538461538464,0.5813953488372093,0.7368421052631579,0.4516129032258064,0.6542056074766355,0.6875,0.4074074074074074,0.6043956043956044,0.625,0.30303030303030304,0.5154639175257731,0.6875,0.3928571428571429,0.5978260869565217,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.3448275862068966,0.5617977528089888
Min1_AllCountry,0.3,0.05,0.7647058823529411,0.2765957446808511,0.5652173913043478,0.7058823529411765,0.2608695652173913,0.5263157894736842,0.8888888888888888,0.372093023255814,0.6956521739130435,0.8421052631578947,0.3636363636363637,0.6666666666666666,0.6875,0.19642857142857145,0.4583333333333333,0.7647058823529411,0.3611111111111111,0.625,0.9,0.4,0.72,0.75,0.40540540540540543,0.6410256410256411,0.7894736842105263,0.36585365853658536,0.6410256410256411,0.7894736842105263,0.3947368421052632,0.6578947368421053
Min1_AllCountry,0.3,top_10,0.8571428571428571,0.3333333333333333,0.6521739130434783,0.8095238095238095,0.29310344827586204,0.5985915492957746,0.8947368421052632,0.3333333333333333,0.6692913385826772,0.9130434782608696,0.4117647058823529,0.7342657342657343,0.7058823529411765,0.19047619047619047,0.4580152671755725,0.85,0.3695652173913043,0.6746031746031746,0.9047619047619048,0.3584905660377358,0.6934306569343066,0.85,0.3617021276595745,0.6692913385826772,0.8636363636363636,0.38,0.6884057971014492,0.85,0.3541666666666667,0.6640625
Min1_AllCountry,0.3,top_20,0.8,0.3076923076923077,0.6060606060606061,0.8095238095238095,0.288135593220339,0.5944055944055944,0.8888888888888888,0.32,0.6557377049180327,0.9130434782608696,0.4117647058823529,0.7342657342657343,0.7058823529411765,0.1935483870967742,0.4615384615384616,0.85,0.3695652173913043,0.6746031746031746,0.9,0.36,0.6923076923076923,0.8333333333333334,0.3333333333333333,0.6410256410256411,0.85,0.3617021276595745,0.6692913385826772,0.8421052631578947,0.3404255319148936,0.6504065040650406
Min1_AllCountry,0.3,0.01,0.8,0.3076923076923077,0.6060606060606061,0.8095238095238095,0.288135593220339,0.5944055944055944,0.8888888888888888,0.32,0.6557377049180327,0.9130434782608696,0.4117647058823529,0.7342657342657343,0.7058823529411765,0.1935483870967742,0.4615384615384616,0.85,0.3695652173913043,0.6746031746031746,0.9,0.35294117647058826,0.6870229007633588,0.8333333333333334,0.3333333333333333,0.6410256410256411,0.85,0.3617021276595745,0.6692913385826772,0.8421052631578947,0.3478260869565217,0.6557377049180327
