Topic,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15,Word_16,Word_17,Word_18,Word_19,Word_20,Word_21,Word_22,Word_23,Word_24,Word_25,Word_26,Word_27,Word_28,Word_29,Word_30
50,vehicle,ford,motor,carmaker,sale,toyota,renault,chrysler,carmakers,truck,nissan,fiat,volvo,plant,model,rover,volkswagen,automotive,manufacturer,cent,production,porsche,peugeot,engine,japanese,daimler,jaguar,auto,honda,industry
51,wine,fine_wine,vintage,bottle,bordeaux,cellar,vineyard,grape,champagne,editor,interactive_graphic,jancis_robinson,taste,burgundy,vine,drink,claret,correspondent,chateau,stockist,contributor,winery,pibs,airasia,khatami,merchant,istc,nakheel,cashmere,brompton_road
52,plantation,tobacco,cigarette,corpns,prop,lanka,industrial,british,total,bond,fund,colombo,foreign,philip_morris,bnoc,dominion,fall,rajoy,rise,financial,smoker,tamil,fletcher_king,davy,smoke,property,lankan,misys,altria,schulz
53,hotel,garden,restaurant,room,city,house,london,design,home,street,island,park,water,fish,build,travel,tourist,food,visitor,holiday,town,cook,road,wine,mile,live,luxury,village,shop,kitchen
54,carillion,showr,waterstone,metronet,jgbs,xiii,ashanti,xvii,unite_kinodom,mecom,viii,thameslink,dobson,tube,ranbaxy,crocker,nomad,aramco,wrexham,merchanting,xviii,zoopla,cold_snap,fountain,zimmer,snow_shower,amato,biogen,showery,norfolk_suffolk
55,coca_colon,coke,soft_drink,pepsico,ofwat,frano,pepsi,lord_browne,shinsei,bottler,water,poundland,greifeld,eircom,beverage,steinhoff,severn_trent,drink,bottle,svanberg,ipcc,mthago,colon,wheatley,william_lewis,lansley,fizzy_drink,watanabe,bottomley,gergiev
56,china,chinese,russia,russian,beijing,hong_kong,moscow,ukraine,foreign,putin,shanghai,soviet,taiwan,country,state,india,official,mainland,gazprom,president,government,asia,economic,western,renminbi,ukrainian,kremlin,trade,bank,kiev
57,netjets,nalgo,melrose,plcord,ofgas,subord,travel,auew,east_timor,amec,hutchison_essar,rifkind,therm,aberdeen,income_drawdown,nupe,scandinavian,transco,knapp,itraxx_crossover,irrd,kaczynski,itraxx,perm,ratepayer,fractional_ownership,irvine,fitg,flight,manchester
58,tonne,price,barrel,gold,production,cent,copper,steel,metal,crude,energy,opec,producer,exploration,supply,commodity,coal,shell,aluminium,demand,output,project,field,petroleum,iron,drill,industry,rise,miner,export
59,beer,brewer,tyre,fountain,inbev,brewery,heineken,sabmiller,brew,carlsberg,pirelli,greenberg,interbrew,goodyear,michelin,capitalia,dunlop,anheuser_busch,lager,swfs,unite,springer,fnfc,sutcliffe,motoko_rich,unite_kingdom,decca,axel_springer,ridley,bass
