,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20,deal,information,techinvest,pocket_diary,head,mover,naira,kodak,chemical,energis,price,raise,knesset,boveri,equity,business,joint_administrative,turnover,paul_murphy,asprey,david_brindle,month,silver_lake,macedonian,premier_league,dreamliner,purnell,customer,stockholm,home,country,minister,othello,bank,pacific,hungarian,yesterday,register,keypad,look,gummer,presentation,ship,money,stock,astrazeneca,fair,black_swan,gadaffi,paris,production,contributor,smoker,town,xviii,ipcc,government,irrd,output,unite,division,isoft,middle_east,thames_gateway,heritable,arnault,state,symphony_orchestra,optician,pollution,arcandor,capem,report,dubai,satellite,saatchi,knave,bray_technology,york,kansallis_osake,july,charterer,fitzgerald,local,ingot,clough,podcast,chris_huhne,finance,device,share,robeco,macau,crisis,mahmoud_abbas,hatoyama,brydon,management,policy,internet
21,banker,corporate,cridland,celanese,bank,intel,tanzania,visa_mastercard,retailer,estrada,brit,large,kaplan,pressurise_water,global,subscription,legg_mason,wheat,ftse_xinhua,feed,gulf_keystone,datum,macbeth,huntsman,final,hoskyns,atari,clothe,london,morning,quota,socialist,scoreboard,standard,gartmore,infosys,washington,accordance,quayle,live,okinawa,salmonella,business,unit,find,total,collection,sharp_reversal,george_papandreou,warburg,porsche,winery,tamil,cook,zoopla,mthago,asia,kaczynski,project,springer,income,continental,jewish,poker,banco_bilbao,chanel,candidate,prom,edwardian,cost,pernod_ricard,pool_pool,page,real_estate,missile,nasdaq,correa,pharmaceutical_biotech,norway,potash,limit,bermuda,reykjavik,action,gtoup,keydata,nasd,bruckner,sport,facebook,industrial,denison,lech_walesa,public,sensex_index,meridien,maiden_lane,academic,reform,deal
22,manager,work,banco_urquijo,kleinfeld,succeed,cred,ashdown,merlin,london,sirius,date,nasdaq,mappin_webb,saks,currency,send,donaldson_lufkin,kerb,polypropylene,brent,royal_ordnance,week,bookrunners,correction,event,sharis,sykes,price,munich,drama,japanese,parmalat,sempra,report,investment,bosnian,leader,tender,method,write,diller,jetblue,cent,bank,page,science,saleroom,pinter,cbbc,record,peugeot,pibs,fletcher_king,road,cold_snap,colon,economic,itraxx,field,fnfc,month,king_abdullah,aviv,mckinnon,scotland,cablevision,barack_obama,orchestral,eetpu_electrician,green,amlin,tile,prison,lease,airline,msci_asia,finesse,torday_carlisle,japan,pankki,september,imclone,cranfield,cent,ippr,luanda,edmonds,raport,option,machine,value,stork,brezhnev,currency,levin,lucia,godfrey_davis,career,tories,stake
23,default,candidate,borland,sonangol,vice_president,henkel,botswana,card_issuer,bank,ivas,june,capital,hongkong_land,voicestream,accum_unit,free,marwick,bushel,landmine,ernest_jones,novo_banco,feed,angolan,imes,ball,trinidad_tobago,blesma,sell,north,coronation_street,produce,benedetti,calor,financial,exempt,harare,page,luxembourg,interim,people,cardinal,trisha,aviation,benefit,theatre,scientist,auctioneer,kiran_stacey,tweenies,sumitomo,engine,airasia,davy,wine,fountain,wheatley,western,perm,petroleum,sutcliffe,acquisition,mosul,cairo,citrix,yushchenko,versace,george_bush,bach,corrigan,environment,bacardi,hare,scandal,buyer,airliner,asian,play,cebit,italy,danske,weekend,edmiston,citic_pacific,member,bright_interval,kate_bevan,balfour,industr,appointment,site,hourly,tire,sants,finance,kozlowski,riesling,yitzhak_shamir,need,candidate,newspaper
24,’,manage,nick_raynsford,ultra_orthodox,resign,coca_colon,wolfowitz,nimrod,cent,quote,share,price,china_unicom,glazer,canada,mail,harris_upham,coffee,bertie_ahern,kevin_maxwell,thaksin_shinawatra,share,emanuel,istituto_bancario,coach,clad,harpenden_herts,growth,chicago,granada,textile,prime_minister,sark,shareholder,guernsey,robert_mugabe,army,london,hongkong_telecom,dance,leveson,garrett,traveller,return,madoff,sale,bonhams,olivant,thorp,london,japanese,khatami,smoke,mile,zimmer,william_lewis,renminbi,ratepayer,iron,motoko_rich,cost,saudis,syrian,serra,duncan_lawrie,nedl,america,ballet,mcfarlane,government,smurfit,cont,yesterday,building,ministry,brazilians,saxophonist,drink_dispense,treasury,clowes,december,willis,davos,committee,convergence_criterium,pixar,santer,scicon,money,chip,hello,pipe,noriega,germany,robert_gibbon,arnotts,polymetal,charity,union,business
25,money,executive,latet,tomtom,subsidiary,pacific,mozambique,agnew,contract,slight_improvement,meeting,business,mail,mestrallet,pound,prior_consent,yeat,open,swapo,gold,advisory_conciliation,equity,corbett,likefor_like,fifa,cancun,invisibles,product,seoul,archer,exporter,olivetti,dough,system,mngt,zanu,minister,stock,moussavi,great,nohlc,wool_textile,port,retirement,trial,roche,phillips,golding,boden,credit,daimler,merchant,property,live,snow_shower,lansley,ukrainian,fractional_ownership,drill,unite_kingdom,growth,hashimoto,sharon,biometric,henry_ansbacher,leather,reagan,tchaikovsky,payable_annually,clean,cussons,othe,action,area,french,light,suit,cryptocurrencies,spain,takenaka,telephone,fund,emiliya_mychasuk,sector,warburg_pincus,ramaphosa,national_lottery,hahn,content,phone,interim,centex,ooooo,increase,maori,frequent_flyer,hgcapital,professor,president,broadband
26,private,senior,amas,bock,general,canon,cypriot,jacob_zuma,week,republic,gold,future,martin_lukes,belgo_dutch,general,limit,mmmt,copper,shenzhen,petropavlovsk,greenland,expect,telco,savile,champion,hispanics,mees_hope,rise,zurich,book,milk,mediobanca,sandisk,state,gild,chechen,soviet,redemption,fyffes,find,read,tssa,class,offer,update,cent,london,castorama,aboriginal,merrill_lynch,jaguar,istc,lankan,luxury,amato,fizzy_drink,kremlin,irvine,industry,decca,interim_dividend,mccreevy,peace_process,opton,yorkshire,designer,congressional,schumann,denham,greenhouse,perrier,lthe,authority,residential,british,xover,hand,hannover,london,julius_baer,april,sadat,laxey,general,otmar_issing,harrods_knightsbridge,critic,gses,overseas,application,provider,nitrate,hutchings,unemployment,barclay_brother,berry_bros,cantv,teacher,seat,broadcaster
27,liquidity,career,bundespost,sandinistas,chief,philips,kerviel,uniq,hotel,selection,final,london,telkom,claimant_count,ireland,content,eramet,prev,mita,healey_baker,secret_ballot,economist,emption_right,banca_popolare,sponsorship,sandown,dalian,department_store,sunny_spell,london,beef,duncan_smith,repr,service,east,budapest,police,principal,louis_dreyfus,character,comment,murthy,plan,bonus,email,test,argentines,goldc,cosco,investment,auto,nakheel,misys,village,biogen,watanabe,trade,fitg,rise,axel_springer,expect,spain,settlement,phibro,williams_glyn,natn,party,baritone,weekly_jobless,renewable,suntory,tlhe,evidence,rend,marconi,bloomberg_markit,lead,granville_davies,interbank,veritas,cannon_street,synopsis,cuomo,scheme,indexia,dhaka,leigh_pemberton,bramble,commodity,design,ozawa,canada,vega,sector,schiller,museveni,successive_session,prof,cameron,music
28,loss,group,lanarkshire,gorgon,share,power,recep_tayyip,guantánamo,leisure,multiplex,group,sell,hollis,kilogram,ratio,numb,legg,soyabean,matisse,fimbra,birkenhead,sector,montblanc,venables,sponsor,ndrc,carpetbagger,analyst,singapore,ship,world,nicolas_sarkozy,drucker,decision,capital,pandit,north_korea,warrant,obamacare,opus,baroda,mccaw,terminal,management,comment,care,siebe,framatome,lord_weinstock,incorporate,honda,cashmere,altria,shop,showery,bottomley,bank,flight,miner,ridley,report,freefone,west,diana_smith,exeter,jeweller,mccain,shostakovich,penalty,technology,laser_printer,high,investigate,sale,submarine,latin_america,schwarzenegger,security,france,ftaa,june,saxo,cineworld,wage,painewebber_incorporate,neptune,today,tosca,kazakhmys,intel,trade,yamaha,fallon,economist,rubio,acidity,fred_kapner,young,european,radio
29,finance,provide,ukla,exim,london,energy,nigerians,sensex,yesterday,catlin,cover,security,nike,filtronic,hello,address,verbier,zinc,ficc,libor,cammell_laird,economic,quangos,christiania,manchester_unite,latino,conference,shopper,moscow,adventure,sale,renzi,chaucer,regulatory,fidelity,zimbabwean,talk,dividend,cardoso,time,bluetooth,timeshare,road,value,office,chemical,catalogue,brasserie,eritrea,japan,industry,brompton_road,schulz,kitchen,norfolk_suffolk,gergiev,kiev,manchester,export,bass,margin,albanians,damascus,polman,operative,copier,political,philharmonic,bearer_depositary,renewable_energy,turkish_cypriot,thle,accuse,price,plessey,essar,mack,scruttons,spread,lennar,news,cumulative_preference,mccann,local_authority,supertax,footie,subscription,giselle,diary,industry,ratio,dome_petroleum,casino_operator,rise,holding_seaboard,montti,carla_hill,find,power,film
